カテゴリ,レベル,素材名,必要条件種別,必要値,推定取得数,想定
採掘,94,ルテニウム鉱,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,93,イフイカナイト原石,必要獲得力,3000,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,92,ラァー鉱,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,92,高山岩塩,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,91,オルコクロマイト,必要獲得力,2921,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,100,ブロッコリー,必要獲得力,3277,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,99,パールグラス,必要獲得力,3238,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,99,ウィンドローレル,必要獲得力,3238,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,98,ウィンドパセリ,必要獲得力,3198,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,98,帯雷繭,必要獲得力,3198,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,98,ヤースラガーリック,必要獲得力,3198,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,98,ピーマン,必要獲得力,3198,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,97,クラロウォルナット原木,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,97,アカシア樹皮,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,97,アカシア原木,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,97,メスキート豆,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,96,薄絹繭,必要獲得力,3119,40,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,96,ホワイトペッパー,必要獲得力,3119,40,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,95,トラルパイナップル,必要獲得力,3079,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,94,コザマル・カモミール,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,94,高山亜麻,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,94,スイートククルビーン,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,94,トラルコーン,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,94,シャーローニ・オイルシード,必要獲得力,3040,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,93,セイバ原木,必要獲得力,3000,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,92,ウコギ原木,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,92,ロイヤルメープル樹液,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,92,ワイルドジャティーカバナナ,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,92,トラルアロエ,必要獲得力,2961,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,91,ユーカリ,必要獲得力,2921,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,91,雪木綿,必要獲得力,2921,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
園芸,91,ウォームトマト,必要獲得力,2921,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
